Question | Wrong Answer | Expected AnswerWhat is the biggest opportunity in CONNECTICUT? | The biggest opportunity in OR. | The biggest opportunity in CT.
What is the biggest opportunity in LOUISIANA? | The biggest opportunity in IL. | The biggest opportunity in LA.
What is the biggest opportunity in WYOMING? | The sales opportunities in WOMENS in WY. | The biggest opportunity in WY.
What are the sales opportunities in OTHER in CONNECTICUT? | The sales opportunities in OTHER in IN. | The sales opportunities in OTHER in CT.
What are the sales opportunities in OTHER in LOUISIANA? | The sales opportunities in OTHER in IL. | The sales opportunities in OTHER in LA.
What are the sales opportunities in MENS in CONNECTICUT? | The sales opportunities in MENS in IN. | The sales opportunities in MENS in CT.
What are the sales opportunities in MENS in NEW HAMPSHIRE? | The sales opportunities in MENS in NJ. | The sales opportunities in MENS in NH.
What are the sales opportunities in MEN in AL? | The sales opportunities in WOMENS in AL. | The sales opportunities in MENS in AL.
What are the sales opportunities in MEN in AZ? | The sales opportunities in WOMENS in AZ. | The sales opportunities in MENS in AZ.
What are the sales opportunities in MEN in CA? | The sales opportunities in WOMENS in CA. | The sales opportunities in MENS in CA.
What are the sales opportunities in MEN in CT? | The sales opportunities in WOMENS in CT. | The sales opportunities in MENS in CT.
What are the sales opportunities in MEN in GA? | The sales opportunities in WOMENS in GA. | The sales opportunities in MENS in GA.
What are the sales opportunities in MEN in IL? | The sales opportunities in WOMENS in IL. | The sales opportunities in MENS in IL.
What are the sales opportunities in MEN in IN? | The sales opportunities in WOMENS in IN. | The sales opportunities in MENS in IN.
What are the sales opportunities in MEN in LA? | The sales opportunities in WOMENS in LA. | The sales opportunities in MENS in LA.
What are the sales opportunities in MEN in MI? | The sales opportunities in WOMENS in MI. | The sales opportunities in MENS in MI.
What are the sales opportunities in MEN in NH? | The sales opportunities in WOMENS in NH. | The sales opportunities in MENS in NH.
What are the sales opportunities in MEN in NJ? | The sales opportunities in WOMENS in NJ. | The sales opportunities in MENS in NJ.
What are the sales opportunities in MEN in OR? | The sales opportunities in WOMENS in OR. | The sales opportunities in MENS in OR.
What are the sales opportunities in MEN in PA? | The sales opportunities in WOMENS in PA. | The sales opportunities in MENS in PA.
What are the sales opportunities in MEN in TN? | The sales opportunities in WOMENS in TN. | The sales opportunities in MENS in TN.
What are the sales opportunities in MEN in TX? | The sales opportunities in WOMENS in TX. | The sales opportunities in MENS in TX.
What are the sales opportunities in MEN in WA? | The sales opportunities in WOMENS in WA. | The sales opportunities in MENS in WA.
What are the sales opportunities in MEN in WV? | The sales opportunities in WOMENS in WV. | The sales opportunities in MENS in WV.
What are the sales opportunities in MEN in WY? | The sales opportunities in WOMENS in WY. | The sales opportunities in MENS in WY.
What are the sales opportunities in MEN in ALABAMA? | The sales opportunities in WOMENS in AL. | The sales opportunities in MENS in AL.
What are the sales opportunities in MEN in ARIZONA? | The sales opportunities in WOMENS in AZ. | The sales opportunities in MENS in AZ.
What are the sales opportunities in MEN in CALIFORNIA? | The sales opportunities in WOMENS in CA. | The sales opportunities in MENS in CA.
What are the sales opportunities in MEN in CONNECTICUT? | The sales opportunities in WOMENS in MI. | The sales opportunities in MENS in CT.
What are the sales opportunities in MEN in GEORGIA? | The sales opportunities in WOMENS in GA. | The sales opportunities in MENS in GA.
What are the sales opportunities in MEN in ILLINOIS? | The sales opportunities in WOMENS in IL. | The sales opportunities in MENS in IL.
What are the sales opportunities in MEN in INDIANA? | The sales opportunities in WOMENS in MI. | The sales opportunities in MENS in IN.
What are the sales opportunities in MEN in LOUISIANA? | The sales opportunities in WOMENS in IL. | The sales opportunities in MENS in LA.
What are the sales opportunities in MEN in MICHIGAN? | The sales opportunities in WOMENS in MI. | The sales opportunities in MENS in MI.
What are the sales opportunities in MEN in NEW HAMPSHIRE? | The sales opportunities in WOMENS in NH. | The sales opportunities in MENS in NH.
